model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
ecmwf_ifs025,all,forecast_bin,f = 0,1335,0.9955056179775281,0.9902291801596541,0.9979386056702433,0.9992509363295881,0.9957691704611613,0.9998677596304888,era5
ecmwf_ifs025,all,forecast_bin,0 < f < 10,669,0.71898355754858,0.6837464474526029,0.7517201786485268,0.9596412556053812,0.9419171015217994,0.9721169430249404,era5
ecmwf_ifs025,all,forecast_bin,f >= 10,1083,0.2631578947368421,0.23780219261751112,0.29018784143212906,0.7423822714681441,0.7155118567771528,0.7675392779673678,era5
ecmwf_ifs025,all,city_group,Centre-south,1617,0.6110080395794681,0.587009451700209,0.6344804404992302,0.9072356215213359,0.892114465890187,0.9204264478331039,era5
ecmwf_ifs025,all,city_group,Coquimbo coast,294,0.7585034013605442,0.7064491058891176,0.8038895171182967,0.8775510204081632,0.8351364064613652,0.9102265824047265,era5
ecmwf_ifs025,all,city_group,Coquimbo interior,1029,0.7482993197278912,0.7208923197142368,0.7738593148236338,0.8969873663751214,0.8769138495546099,0.9141078440215938,era5
ecmwf_ifs025,1-3,all,all cases,1323,0.6795162509448224,0.6538814398351873,0.7041115945402143,0.9002267573696145,0.8829006358710266,0.915235413399606,era5
ecmwf_ifs025,1-3,forecast_bin,f = 0,615,0.9983739837398374,0.9908477431071552,0.9997129105183213,1.0,0.9937924991511715,1.0,era5
ecmwf_ifs025,1-3,forecast_bin,0 < f < 10,256,0.71875,0.6607529774210059,0.7702790852921473,0.984375,0.9605207370259043,0.9939074018389349,era5
ecmwf_ifs025,1-3,forecast_bin,f >= 10,452,0.2234513274336283,0.187470980793106,0.2640927259975446,0.7168141592920354,0.6735867163502003,0.7563873375259296,era5
ecmwf_ifs025,1-3,city_group,Centre-south,693,0.6161616161616161,0.5794076445981707,0.6516348657864269,0.9177489177489178,0.8949171920961985,0.9359748172993421,era5
ecmwf_ifs025,1-3,city_group,Coquimbo coast,126,0.7380952380952381,0.6550979646453041,0.8070040520522543,0.8650793650793651,0.7945301725945253,0.9140262530083978,era5
ecmwf_ifs025,1-3,city_group,Coquimbo interior,441,0.7505668934240363,0.7081364873235076,0.7886697243901646,0.8888888888888888,0.8561337812315626,0.9149274432833225,era5
ecmwf_ifs025,4-7,all,all cases,1764,0.6780045351473923,0.6558338147133976,0.699401660077087,0.9007936507936508,0.8859604918788792,0.9138849879837724,era5
ecmwf_ifs025,4-7,forecast_bin,f = 0,720,0.9930555555555556,0.9838475682519386,0.9970302072450768,0.9986111111111111,0.9921751345233835,0.9997547849228942,era5
ecmwf_ifs025,4-7,forecast_bin,0 < f < 10,413,0.7191283292978208,0.6739177474199957,0.7603000976229645,0.9443099273607748,0.9178232789174058,0.9626073792636237,era5
ecmwf_ifs025,4-7,forecast_bin,f >= 10,631,0.29160063391442154,0.2574843560585548,0.3282389827047122,0.7606973058637084,0.7258932665268217,0.792346359126734,era5
ecmwf_ifs025,4-7,city_group,Centre-south,924,0.6071428571428571,0.5752712270195435,0.6381272993178437,0.8993506493506493,0.8782678514602118,0.9171266557973223,era5
ecmwf_ifs025,4-7,city_group,Coquimbo coast,168,0.7738095238095238,0.7048382539049869,0.8305389513336594,0.8869047619047619,0.8301195160460959,0.9263917522259042,era5
ecmwf_ifs025,4-7,city_group,Coquimbo interior,588,0.7465986394557823,0.7099191390592207,0.7800769496706236,0.9030612244897959,0.8764648825720164,0.9244252762484876,era5
gfs_seamless,all,all,all cases,3087,0.6857790735341756,0.6691814212136814,0.701914934021293,0.9011985746679624,0.8901684762016476,0.9112314121305508,era5
gfs_seamless,all,forecast_bin,f = 0,1576,0.9828680203045685,0.975188360673729,0.9881994472888154,1.0,0.9975684529231078,1.0,era5
gfs_seamless,all,forecast_bin,0 < f < 10,750,0.48,0.4444377446178126,0.515766089163736,0.9386666666666666,0.9191578241004902,0.9537047549575454,era5
gfs_seamless,all,forecast_bin,f >= 10,761,0.2733245729303548,0.2428581993461665,0.30606792646215697,0.6596583442838371,0.6252669727010343,0.6924459299904944,era5
gfs_seamless,all,city_group,Centre-south,1617,0.62152133580705,0.597619907436116,0.6448467433560275,0.9035250463821892,0.8881636357599966,0.9169737161070456,era5
gfs_seamless,all,city_group,Coquimbo coast,294,0.7857142857142857,0.7352839190898632,0.828774558970963,0.9285714285714286,0.8932779166608211,0.9528098004304184,era5
gfs_seamless,all,city_group,Coquimbo interior,1029,0.7405247813411079,0.7128821505148142,0.7663782391060192,0.8872691933916423,0.8664874186040483,0.9051702188258592,era5
