metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
bias_mm,ecmwf_ifs025,1,grid,era5,441,21,21,-0.14965986394557815,,0.23900226757369605,0.7991094529652171,0.2990857719012606,robust,False,-0.3886621315192742
pod,ecmwf_ifs025,1,grid,era5,441,21,21,0.9337748344370861,,-0.006225165562913859,0.007502304210512259,0.8297671472973772,robust,False,0.94
far,ecmwf_ifs025,1,grid,era5,441,21,21,0.06622516556291391,,0.0,0.040845017174691876,0.0,robust,False,0.06622516556291391
mae_mm,ecmwf_ifs025,2,grid,era5,441,21,21,4.11859410430839,,-0.33832199546485153,0.33068936744637817,1.0230809598669997,robust,False,4.456916099773242
bias_mm,ecmwf_ifs025,2,grid,era5,441,21,21,-0.4741496598639455,,0.23900226757369625,0.7673572097385889,0.31146155211744964,robust,False,-0.7131519274376418
pod,ecmwf_ifs025,2,grid,era5,441,21,21,0.8940397350993378,,-0.012626931567328858,0.01228511388941745,1.0278237288630963,robust,False,0.9066666666666666
far,ecmwf_ifs025,2,grid,era5,441,21,21,0.08783783783783784,,0.006756756756756757,0.035706494029472145,0.18923047306688048,robust,False,0.08108108108108109
mae_mm,ecmwf_ifs025,3,grid,era5,441,21,21,5.367120181405895,,-0.27210884353741616,0.2866585146548818,0.9492438899469549,robust,False,5.639229024943311
bias_mm,ecmwf_ifs025,3,grid,era5,441,21,21,-0.3448979591836733,,0.23900226757369625,0.7612111836095825,0.3139762955667216,robust,False,-0.5839002267573695
pod,ecmwf_ifs025,3,grid,era5,441,21,21,0.9006622516556292,,-0.012671081677704144,0.011654399137204249,1.087235946575259,robust,False,0.9133333333333333
far,ecmwf_ifs025,3,grid,era5,441,21,21,0.1111111111111111,,0.006535947712418291,0.03292548964359237,0.19850722899394307,robust,False,0.10457516339869281
