model,lead_days,n,mae_mm,k,band_half_width_mm,coverage,wilson_lo,wilson_hi,gaussian_reference,truth
gfs_seamless,1,438,5.096391204609698,2,10.192782409219395,0.8356164383561644,0.7980176362045714,0.8673794063101403,0.889459650277264,gauge
gfs_seamless,2,438,5.963202685366384,1,5.963202685366384,0.7374429223744292,0.6942976437475246,0.7764594475554008,0.5750625163166379,gauge
gfs_seamless,2,438,5.963202685366384,2,11.926405370732768,0.821917808219178,0.7833363909579371,0.8549015885969905,0.889459650277264,gauge
gfs_seamless,3,438,5.970009078060447,1,5.970009078060447,0.723744292237443,0.6800606656816085,0.7635373626615328,0.5750625163166379,gauge
gfs_seamless,3,438,5.970009078060447,2,11.940018156120894,0.8242009132420092,0.7857777428913224,0.8569867471569026,0.889459650277264,gauge
gfs_seamless,4,438,6.03318376821048,1,6.03318376821048,0.7146118721461188,0.6705963523891364,0.7548956339808154,0.5750625163166379,gauge
gfs_seamless,4,438,6.03318376821048,2,12.06636753642096,0.8105022831050228,0.7711609933914597,0.8444444336969811,0.889459650277264,gauge
gfs_seamless,5,438,8.21026854751033,1,8.21026854751033,0.7123287671232876,0.6682335578894192,0.7527319179872352,0.5750625163166379,gauge
gfs_seamless,5,438,8.21026854751033,2,16.42053709502066,0.821917808219178,0.7833363909579371,0.8549015885969905,0.889459650277264,gauge
gfs_seamless,6,438,8.996846173081103,1,8.996846173081103,0.6963470319634704,0.6517297615390846,0.7375501408844883,0.5750625163166379,gauge
gfs_seamless,6,438,8.996846173081103,2,17.993692346162206,0.8264840182648402,0.788221258348762,0.8590697421927604,0.889459650277264,gauge
gfs_seamless,7,438,9.09704175907806,1,9.09704175907806,0.7077625570776256,0.663511844361776,0.7484006105282837,0.5750625163166379,gauge
gfs_seamless,7,438,9.09704175907806,2,18.19408351815612,0.8242009132420092,0.7857777428913224,0.8569867471569026,0.889459650277264,gauge
icon_seamless,1,438,6.021027473363775,1,6.021027473363775,0.723744292237443,0.6800606656816085,0.7635373626615328,0.5750625163166379,gauge
icon_seamless,1,438,6.021027473363775,2,12.04205494672755,0.819634703196347,0.7808971704018853,0.852814298659745,0.889459650277264,gauge
icon_seamless,2,438,6.71180873015873,1,6.71180873015873,0.7191780821917808,0.6753258628427513,0.7592191445137951,0.5750625163166379,gauge
icon_seamless,2,438,6.71180873015873,2,13.42361746031746,0.8242009132420092,0.7857777428913224,0.8569867471569026,0.889459650277264,gauge
icon_seamless,3,438,6.263242868014785,1,6.263242868014785,0.7009132420091324,0.656438830838909,0.7418940925712586,0.5750625163166379,gauge
icon_seamless,3,438,6.263242868014785,2,12.52648573602957,0.817351598173516,0.7784600500836637,0.8507249084846692,0.889459650277264,gauge
icon_seamless,4,438,7.49995593607306,1,7.49995593607306,0.6712328767123288,0.625916677821112,0.7135716091761899,0.5750625163166379,gauge
icon_seamless,4,438,7.49995593607306,2,14.99991187214612,0.8127853881278538,0.7735919903857269,0.8465399471960113,0.889459650277264,gauge
icon_seamless,5,438,6.846404511850403,1,6.846404511850403,0.6940639269406392,0.6493770846695391,0.7353763072607363,0.5750625163166379,gauge
icon_seamless,5,438,6.846404511850403,2,13.692809023700805,0.817351598173516,0.7784600500836637,0.8507249084846692,0.889459650277264,gauge
icon_seamless,6,438,8.802615775168515,1,8.802615775168515,0.6461187214611872,0.6002441068263374,0.6894525647446935,0.5750625163166379,gauge
icon_seamless,6,438,8.802615775168515,2,17.60523155033703,0.815068493150685,0.7760249998284241,0.8486334482466116,0.889459650277264,gauge
